Timestamp,ChW_Pump_Flow,CndW_Pump_Flow,ChW_In_Temp,ChW_Out_Temp,CndW_In_Temp,CndW_Out_Temp,COP,Total_Power
12.016666666666667,158.1838636,189.6806506,13.353613385133954,7.999999999999998,37.236546654114456,32.0,6.304960574588392,697405.0039912114
12.033333333333333,220.101547352,210.81649452400003,13.210855956064862,8.374642712789624,37.351447074434226,35.03835304168658,6.0878549393402555,944934.024968611
12.05,219.64959345600002,210.81649452400003,12.97122706286719,8.206140073069108,37.596120106694165,35.132163828081005,6.062636065939187,935245.9394201057
12.066666666666666,219.64959345600002,210.81649452400003,12.790695200842789,8.02585472155636,37.88809006390376,35.24410886361022,6.031012484358587,939138.3138177987
12.083333333333334,219.64959345600002,210.81649452400003,12.64605935228779,7.881416350247457,38.19394991537429,33.94509423709056,6.005945105201186,942709.9031264652
12.1,219.64959345600002,210.81649452400003,12.524031678471601,7.843188804353325,38.45850470601214,33.96496740404396,6.002260358542304,930493.46750848
12.116666666666667,219.64959345600002,210.81649452400003,12.418309800025416,7.7805114437852465,38.66554514161073,33.8880320623077,5.992958970789465,925275.1677562909
12.133333333333333,219.64959345600002,210.81649452400003,12.323833529640156,7.643259144591962,38.83943543409304,33.90109457690343,5.9679971475503315,934981.3976502793
12.15,219.64959345600002,210.27454980800005,12.23561027742899,7.555154224001827,38.99093717448275,33.89938646013661,5.9530385494479034,936509.9670406464
12.166666666666666,219.64959345600002,210.27454980800005,12.15068613828158,7.470343950958561,39.118193240690346,33.90864250299387,5.9387195506707835,938342.9515803665
12.183333333333334,219.64959345600002,210.27454980800005,12.065607708485688,7.221033486651736,39.2470931271922,34.01074455279003,5.891586127018356,969748.0412782016
12.2,219.64959345600002,210.81649452400003,11.976489227362375,7.132038695025434,39.37563769605015,34.03386177932841,5.876912751646172,972113.4529520177
12.216666666666667,219.64959345600002,210.81649452400003,11.884132359509307,7.120529377412493,39.473111172354706,34.04118391726233,5.877699347188617,959444.6951562339
12.233333333333333,219.64959345600002,211.35843924000005,11.791704436345192,7.0282275862232275,39.54571637854485,34.060738169555144,5.862563690835172,961809.9531718561
12.25,219.64959345600002,211.35843924000005,11.701163221838875,7.021423739275339,39.59673675956359,34.064691778416375,5.864211113987014,948516.7470683549
12.266666666666667,219.19763956000003,210.81649452400003,11.615082862765059,6.968791359228349,39.62653976400997,33.96022129209341,5.858586838063856,941723.9416706937
12.283333333333333,219.64959345600002,210.27454980800005,11.53269163835133,6.896069838090138,39.64860565854824,33.94722235398274,5.845189531056782,943581.0519044126
12.3,219.64959345600002,210.27454980800005,11.452274857514473,6.81575986249591,39.66695646099449,33.948557110108474,5.832180452554062,945222.7698163633
12.316666666666666,219.64959345600002,209.73260509200003,11.373752489266915,6.73734177868616,39.682419524192944,33.93486854915731,5.819541386551037,946435.8597059363
12.333333333333334,219.64959345600002,209.73260509200003,11.296314715867817,6.660006844695641,39.6954212133297,33.935783081998274,5.807137948348534,948011.3478956338
12.35,219.64959345600002,209.73260509200003,11.218933600564743,6.53984050222428,39.710905449401004,33.93687223605014,5.786610053888662,957449.5868773967
12.366666666666667,219.64959345600002,209.73260509200003,11.139405613766412,6.376818734834444,39.73938211364071,33.93887527153072,5.758219493318744,974500.7816658642
12.383333333333333,219.64959345600002,209.73260509200003,11.05601070506193,6.2935375829307985,39.77335303510405,34.034230816479905,5.745183862110355,976079.7714311882
12.4,219.64959345600002,209.73260509200003,10.970379219153086,6.29161921524925,39.79207128949528,34.0355474498947,5.747519688653503,962397.4077143867
12.416666666666666,219.64959345600002,209.73260509200003,10.885345053610637,6.206699009740244,39.798879023289714,33.943060256822825,5.73428446903965,964306.2875364254
12.433333333333334,219.64959345600002,209.73260509200003,10.80153152539155,6.122997771790793,39.80532207795354,34.036479504267504,5.721307290642551,965837.9285868381
12.45,219.19763956000003,209.73260509200003,10.720915267409776,6.163932025822953,39.79382475711523,33.94270474206202,5.733198664469985,942882.902209646
12.466666666666667,219.19763956000003,209.19066037600004,10.645226567534086,6.088342102144789,39.769518057054064,33.925895219331835,5.721481089659369,943972.0503658645
12.483333333333333,219.19763956000003,208.10677094400003,10.57317280320718,6.016382366328675,39.75276045176835,33.89440267148493,5.710377068731541,944611.5238212356
12.5,219.64959345600002,207.02288151200003,10.50129080178629,5.866038479581858,39.754542804649326,33.86383432284536,5.683202235539274,962152.4115327819
12.516666666666666,219.64959345600002,207.02288151200003,10.425712308521883,5.664098784133085,39.78489020901682,33.95978254707887,5.648802035465087,987177.7912381527
12.533333333333333,219.64959345600002,207.02288151200003,10.345168735249626,5.599999999999998,39.822927256578126,33.96199520815975,5.642287612770436,985436.7994468997
12.55,219.64959345600002,207.02288151200003,10.261720307415828,5.6,39.84110907916401,33.96305286677929,5.657726586238961,969779.1598384364
12.566666666666666,219.64959345600002,207.02288151200003,10.179463741542616,5.6,39.834984707967564,33.9626966046964,5.672353350298613,954487.213452072
12.583333333333334,219.64959345600002,207.02288151200003,10.099209669664715,5.421616781091483,39.834328680039484,33.96265844275804,5.615150481605136,978160.7099474765
12.6,219.19763956000003,207.02288151200003,10.01986847409537,5.37569919621202,39.84155921901203,33.963079051958914,5.6110493014934635,971132.646335604
12.616666666666667,219.19763956000003,207.02288151200003,9.941497894551112,5.3,39.841215307228445,33.86887616719277,5.609789033055438,971064.8484406249
12.633333333333333,219.19763956000003,207.02288151200003,9.864573690605372,5.299999999999999,39.827942134343026,33.86810405066569,5.622033696216282,956849.0774175714
